Format: Order_No,Item_No,Prep_Time
1,2,4.5
2,2,5.5
3,4,3.5
4,4,3.5
5,3,6.5
6,1,3
7,3,6
8,3,6.5
9,2,4.5
10,2,4
11,3,5
12,3,4
13,2,4.5
14,2,3.5
15,3,4
16,2,6.5
17,2,4.5
18,1,6.5
19,1,5
20,4,4.5
21,4,6
22,2,4.5
23,4,5.5
24,1,4.5
25,2,5
26,2,6
27,1,3
28,4,4.5
29,1,5.5
30,4,5
31,1,4
32,2,5.5
33,1,3.5
34,2,4
35,2,5
36,3,3
37,1,3.5
38,3,6.5
39,4,6.5
40,4,6.5
41,2,3
42,1,5
43,4,5.5
44,3,5
45,1,4.5
46,2,3.5
47,3,5
48,2,4.5
49,2,4
50,3,4
51,4,4
52,4,3.5
53,1,6.5
54,3,4
55,2,4.5
56,1,3.5
57,3,6
58,4,5
59,1,5.5
60,2,5.5
61,3,3.5
62,2,6
63,2,5.5
64,4,4.5
65,2,6
66,2,6
67,4,3
68,4,5
69,3,6.5
70,4,5.5
71,4,6.5
72,2,6.5
73,4,5.5
74,3,3
75,2,5
76,2,4.5
77,3,5
78,2,4
79,2,4.5
80,3,3
81,3,4.5
82,4,4.5
83,4,5.5
84,2,4.5
85,1,6
86,2,3
87,4,6.5
88,1,4.5
89,4,4
90,3,6.5
91,3,3.5
92,2,4.5
93,3,5
94,1,6
95,3,4.5
96,3,4
97,2,5.5
98,3,4
99,2,5
100,3,6.5
